rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
732,Z4,No,Salt,0,0,0,0,0,6,9.6,15.6,16.8,16.8,18,20.4,22.8,26.4,31.2,37.2,44.4,52.8,61.2,70.8,78,84,88.8,94.8,99.6,100,100,100,100
733,Z5,Yes,Fresh,0.7,1.4,3.5,5.6,7,12,15,20,21,21,22,24,26,29,33,38,44,51,58,66,72,77,81,86,90,94,98,100,100
734,Z5,Yes,Salt,0.84,1.68,4.2,6.72,8.4,14.4,18,24,25.2,25.2,26.4,28.8,31.2,34.8,39.6,45.6,52.8,61.2,69.6,79.2,86.4,92.4,97.2,100,100,100,100,100,100
735,Z5,No,Fresh,0,0,0,0,0,5,8,13,14,14,15,17,19,22,26,31,37,44,51,59,65,70,74,79,83,87,91,95,98
736,Z5,No,Salt,0,0,0,0,0,6,9.6,15.6,16.8,16.8,18,20.4,22.8,26.4,31.2,37.2,44.4,52.8,61.2,70.8,78,84,88.8,94.8,99.6,100,100,100,100
737,P4,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,P4,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,P4,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,P4,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,P6,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,P6,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,P6,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,P6,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Q0,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Q0,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Q0,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Q0,No,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Q1,Yes,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Q1,Yes,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Q1,No,Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
